GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
twitter,org.example.entity,User,8,0,0,0,4,0,2,0,2,0
twitter,org.example.entity,Retweet,8,0,0,0,4,0,2,0,2,0
twitter,org.example.entity,Follow,8,0,0,0,4,0,2,0,2,0
twitter,org.example.entity,Comment,8,0,0,0,4,0,2,0,2,0
twitter,org.example.entity,Tweet,8,0,0,0,4,0,2,0,2,0
twitter,org.example.entity,Like,8,0,0,0,4,0,2,0,2,0
twitter,org.example.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
twitter,org.example.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
twitter,org.example.exception,GlobalExceptionHandler,41,41,0,0,8,13,4,3,4,3
twitter,org.example.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
twitter,org.example.security,JwtAuthenticationFilter,61,0,8,0,14,0,6,0,2,0
twitter,org.example.security,CustomUserDetailsService,26,0,0,0,5,0,2,0,2,0
twitter,org.example.security,JwtUtils,59,0,0,0,26,0,5,0,5,0
twitter,org.example.config,SecurityConfig,117,0,0,0,22,0,8,0,8,0
twitter,org.example.config,WebConfig,0,47,0,0,0,7,0,2,0,2
twitter,org.example.config,OpenApiConfig,42,0,0,0,14,0,2,0,2,0
twitter,org.example.mapper,TweetMapperImpl,10,110,7,9,4,25,7,6,0,5
twitter,org.example.mapper,UserMapperImpl,149,0,18,0,42,0,15,0,6,0
twitter,org.example.mapper,CommentMapperImpl,17,87,7,7,8,24,6,6,0,5
twitter,org.example.controller,UserController,93,0,0,0,19,0,8,0,8,0
twitter,org.example.controller,AuthController,0,22,0,0,0,5,0,2,0,2
twitter,org.example.controller,CommentController,0,56,0,0,0,12,0,5,0,5
twitter,org.example.controller,LikeController,28,0,0,0,7,0,3,0,3,0
twitter,org.example.controller,TweetController,2,162,2,2,0,31,2,11,0,11
twitter,org.example.controller,FollowController,52,0,0,0,11,0,5,0,5,0
twitter,org.example.dto.auth,RegisterRequest,0,3,0,0,0,1,0,1,0,1
twitter,org.example.dto.common,ApiResponse,13,9,0,0,6,5,2,1,2,1
twitter,org.example,TwitterApplication,5,3,0,0,2,1,1,1,1,1
twitter,org.example.service.impl,UserServiceImpl,186,0,0,0,48,0,9,0,9,0
twitter,org.example.service.impl,CommentServiceImpl,120,70,3,5,23,15,8,5,6,3
twitter,org.example.service.impl,LikeServiceImpl,11,63,2,4,2,16,2,3,0,2
twitter,org.example.service.impl,RetweetServiceImpl,23,87,3,3,2,21,5,2,2,2
twitter,org.example.service.impl,AuthServiceImpl,87,39,1,3,17,10,7,2,6,1
twitter,org.example.service.impl,FollowServiceImpl,147,41,6,2,38,9,11,3,7,3
twitter,org.example.service.impl,TweetServiceImpl,384,70,12,2,119,16,21,4,15,3
